iter	Passed	Remaining
0	29	29697
1	52	26103
2	81	26964
3	106	26433
4	124	24841
5	142	23571
6	159	22668
7	174	21688
8	194	21424
9	208	20667
10	217	19560
11	234	19292
12	248	18875
13	264	18631
14	278	18266
15	285	17534
16	296	17146
17	312	17037
18	328	16960
19	344	16886
20	357	16667
21	371	16496
22	384	16317
23	397	16156
24	411	16065
25	431	16155
26	444	16031
27	459	15955
28	490	16437
29	515	16679
30	546	17089
31	564	17079
32	576	16906
33	603	17146
34	623	17196
35	650	17423
36	656	17089
37	676	17123
38	695	17144
39	715	17165
40	728	17038
41	743	16969
42	769	17123
43	796	17300
44	807	17139
45	828	17187
46	848	17205
47	867	17205
48	889	17263
49	905	17205
50	921	17138
51	946	17254
52	964	17226
53	1016	17808
54	1038	17838
55	1063	17930
56	1084	17949
57	1096	17812
58	1115	17789
59	1131	17724
60	1146	17655
61	1157	17510
62	1173	17446
63	1189	17399
64	1200	17263
65	1215	17205
66	1231	17144
67	1246	17078
68	1266	17094
69	1281	17026
70	1293	16921
71	1299	16754
72	1306	16595
73	1323	16567
74	1337	16499
75	1351	16432
76	1358	16286
77	1374	16252
78	1384	16143
79	1399	16097
80	1413	16035
81	1429	16005
82	1443	15949
83	1456	15887
84	1475	15880
85	1489	15831
86	1496	15702
87	1513	15686
88	1532	15681
89	1550	15675
90	1565	15639
91	1582	15622
92	1599	15601
93	1619	15607
94	1628	15516
95	1649	15528
96	1665	15500
97	1672	15390
98	1684	15327
99	1701	15317
100	1716	15281
101	1728	15214
102	1740	15153
103	1745	15041
104	1755	14967
105	1771	14943
106	1799	15022
107	1815	14998
108	1830	14962
109	1845	14930
110	1849	14815
111	1856	14722
112	1873	14703
113	1892	14708
114	1905	14660
115	1920	14638
116	1935	14603
117	1940	14505
118	1955	14474
119	1965	14412
120	1994	14487
121	2009	14465
122	2014	14362
123	2026	14314
124	2038	14269
125	2053	14241
126	2073	14254
127	2092	14258
128	2109	14242
129	2126	14228
130	2141	14203
131	2148	14127
132	2167	14126
133	2183	14109
134	2189	14025
135	2194	13943
136	2203	13882
137	2215	13840
138	2223	13774
139	2231	13708
140	2246	13684
141	2264	13680
142	2292	13741
143	2325	13825
144	2362	13930
145	2378	13915
146	2401	13933
147	2422	13947
148	2438	13929
149	2456	13920
150	2468	13879
151	2481	13844
152	2500	13841
153	2515	13819
154	2533	13811
155	2554	13819
156	2575	13829
157	2597	13842
158	2604	13777
159	2625	13784
160	2637	13746
161	2651	13718
162	2675	13739
163	2701	13768
164	2733	13832
165	2758	13859
166	2772	13827
167	2793	13833
168	2812	13827
169	2831	13826
170	2853	13832
171	2876	13846
172	2900	13867
173	2922	13874
174	2940	13864
175	2958	13850
176	2977	13842
177	2995	13834
178	3012	13818
179	3032	13816
180	3053	13815
181	3070	13802
182	3092	13805
183	3108	13785
184	3129	13785
185	3146	13769
186	3164	13758
187	3187	13765
188	3201	13737
189	3220	13729
190	3230	13684
191	3252	13686
192	3266	13658
193	3286	13655
194	3300	13624
195	3316	13605
196	3328	13568
197	3342	13536
198	3358	13516
199	3372	13491
200	3388	13471
201	3405	13451
202	3419	13424
203	3435	13405
204	3454	13395
205	3470	13375
206	3483	13345
207	3500	13328
208	3511	13289
209	3528	13275
210	3548	13269
211	3564	13250
212	3580	13228
213	3597	13211
214	3608	13174
215	3622	13146
216	3636	13120
217	3650	13095
218	3663	13064
219	3678	13043
220	3691	13013
221	3708	12997
222	3724	12976
223	3742	12964
224	3757	12941
225	3773	12922
226	3792	12915
227	3806	12890
228	3823	12873
229	3836	12842
230	3851	12821
231	3867	12803
232	3881	12776
233	3897	12757
234	3911	12731
235	3926	12712
236	3941	12688
237	3957	12669
238	3972	12647
239	3989	12634
240	4009	12626
241	4023	12601
242	4037	12578
243	4048	12544
244	4061	12517
245	4074	12487
246	4085	12455
247	4099	12429
248	4112	12403
249	4128	12385
250	4141	12359
251	4155	12333
252	4169	12310
253	4183	12286
254	4213	12309
255	4275	12424
256	4303	12442
257	4324	12437
258	4337	12410
259	4357	12401
260	4369	12372
261	4383	12348
262	4400	12331
263	4423	12332
264	4438	12311
265	4451	12283
266	4466	12260
267	4477	12230
268	4493	12211
269	4520	12223
270	4537	12205
271	4552	12185
272	4569	12169
273	4585	12149
274	4611	12156
275	4631	12149
276	4650	12138
277	4669	12127
278	4685	12107
279	4698	12081
280	4711	12056
281	4725	12032
282	4738	12005
283	4750	11976
284	4764	11952
285	4780	11933
286	4795	11913
287	4807	11885
288	4823	11867
289	4837	11842
290	4853	11825
291	4865	11797
292	4877	11770
293	4891	11746
294	4903	11718
295	4918	11697
296	4931	11673
297	4947	11654
298	4961	11632
299	4976	11611
300	4988	11584
301	5001	11559
302	5013	11533
303	5027	11511
304	5043	11492
305	5057	11469
306	5069	11443
307	5082	11419
308	5100	11406
309	5116	11389
310	5129	11363
311	5145	11346
312	5159	11323
313	5175	11307
314	5192	11290
315	5208	11273
316	5227	11263
317	5245	11248
318	5262	11233
319	5280	11220
320	5298	11206
321	5314	11190
322	5328	11167
323	5342	11145
324	5359	11131
325	5373	11108
326	5386	11085
327	5401	11067
328	5416	11047
329	5430	11024
330	5444	11005
331	5457	10981
332	5472	10961
333	5488	10943
334	5501	10921
335	5515	10900
336	5528	10876
337	5539	10848
338	5553	10828
339	5567	10808
340	5583	10790
341	5600	10775
342	5613	10753
343	5627	10730
344	5641	10709
345	5652	10683
346	5664	10659
347	5677	10636
348	5689	10613
349	5705	10595
350	5717	10572
351	5731	10551
352	5745	10531
353	5758	10508
354	5771	10486
355	5782	10459
356	5795	10438
357	5808	10415
358	5819	10390
359	5831	10367
360	5846	10348
361	5859	10327
362	5872	10305
363	5885	10283
364	5904	10272
365	5921	10257
366	5934	10236
367	5950	10220
368	5962	10195
369	5976	10176
370	5989	10154
371	6003	10134
372	6015	10112
373	6029	10091
374	6043	10072
375	6055	10049
376	6068	10027
377	6081	10007
378	6097	9990
379	6120	9985
380	6141	9977
381	6161	9967
382	6185	9964
383	6208	9959
384	6225	9944
385	6248	9939
386	6261	9917
387	6282	9909
388	6303	9900
389	6320	9885
390	6339	9874
391	6357	9860
392	6376	9849
393	6398	9840
394	6416	9828
395	6447	9833
396	6487	9853
397	6509	9846
398	6529	9835
399	6566	9849
400	6582	9832
401	6600	9818
402	6621	9808
403	6637	9791
404	6651	9772
405	6667	9754
406	6685	9740
407	6699	9720
408	6714	9703
409	6731	9686
410	6747	9669
411	6764	9654
412	6782	9640
413	6798	9623
414	6816	9608
415	6832	9592
416	6849	9576
417	6872	9569
418	6888	9551
419	6904	9534
420	6919	9516
421	6935	9499
422	6953	9485
423	6970	9469
424	6986	9451
425	7002	9435
426	7016	9415
427	7032	9398
428	7047	9379
429	7065	9365
430	7079	9346
431	7095	9329
432	7110	9310
433	7127	9294
434	7143	9277
435	7160	9262
436	7180	9251
437	7197	9235
438	7214	9219
439	7232	9205
440	7250	9191
441	7269	9176
442	7285	9160
443	7301	9143
444	7316	9125
445	7333	9109
446	7353	9096
447	7373	9085
448	7388	9067
449	7404	9050
450	7420	9032
451	7435	9015
452	7447	8992
453	7460	8971
454	7476	8955
455	7489	8935
456	7503	8915
457	7514	8893
458	7528	8873
459	7543	8855
460	7557	8836
461	7573	8819
462	7594	8808
463	7607	8788
464	7626	8774
465	7636	8750
466	7648	8729
467	7665	8713
468	7680	8695
469	7693	8675
470	7704	8653
471	7718	8633
472	7730	8612
473	7741	8591
474	7753	8569
475	7769	8553
476	7784	8534
477	7797	8515
478	7810	8495
479	7827	8479
480	7845	8465
481	7869	8457
482	7889	8445
483	7907	8430
484	7921	8411
485	7933	8390
486	7946	8370
487	7961	8352
488	7980	8339
489	7996	8322
490	8010	8303
491	8028	8289
492	8047	8275
493	8068	8264
494	8089	8252
495	8106	8237
496	8131	8229
497	8149	8214
498	8176	8209
499	8206	8206
500	8228	8196
501	8249	8184
502	8272	8174
503	8292	8160
504	8310	8145
505	8328	8131
506	8349	8119
507	8371	8107
508	8392	8095
509	8419	8089
510	8439	8076
511	8465	8068
512	8486	8056
513	8502	8039
514	8523	8027
515	8551	8020
516	8576	8012
517	8599	8001
518	8628	7996
519	8643	7979
520	8665	7967
521	8684	7952
522	8706	7940
523	8723	7924
524	8748	7915
525	8768	7901
526	8790	7889
527	8806	7872
528	8823	7856
529	8851	7849
530	8869	7834
531	8886	7817
532	8904	7801
533	8921	7785
534	8941	7771
535	8959	7755
536	8971	7735
537	8987	7718
538	9003	7700
539	9020	7683
540	9036	7666
541	9049	7646
542	9060	7625
543	9072	7605
544	9087	7587
545	9100	7566
546	9114	7548
547	9129	7529
548	9143	7511
549	9157	7492
550	9170	7472
551	9184	7454
552	9199	7435
553	9211	7415
554	9222	7394
555	9237	7376
556	9252	7358
557	9266	7339
558	9280	7321
559	9294	7302
560	9309	7284
561	9323	7266
562	9341	7251
563	9363	7238
564	9384	7225
565	9401	7209
566	9417	7191
567	9436	7176
568	9449	7157
569	9461	7137
570	9476	7119
571	9488	7099
572	9501	7080
573	9516	7062
574	9533	7046
575	9546	7027
576	9558	7007
577	9571	6987
578	9586	6970
579	9599	6951
580	9609	6930
581	9625	6913
582	9639	6894
583	9654	6877
584	9666	6857
585	9688	6844
586	9707	6829
587	9724	6814
588	9740	6796
589	9751	6776
590	9765	6758
591	9786	6744
592	9800	6726
593	9815	6708
594	9829	6690
595	9842	6671
596	9858	6654
597	9873	6637
598	9889	6620
599	9909	6606
600	9927	6591
601	9954	6581
602	9972	6565
603	9986	6547
604	10000	6529
605	10013	6510
606	10027	6492
607	10039	6472
608	10055	6455
609	10071	6439
610	10083	6419
611	10097	6401
612	10113	6384
613	10127	6366
614	10137	6346
615	10150	6327
616	10165	6310
617	10179	6292
